Account_Balance,Loan_Duration,Credit_History,Loan_Purpose,Loan_Amount,Savings,Years_Employed,Installment_Rate,Gender_and_Status,Other_Debtors_Guarantors,Year_of_Residence,Property,Age,Installment_Plans,Housing,Existing_Credits,Job,Dependents,Telephone,Foreign,Credit_Rating
(A12) 0 <= ... < 200 DM,27,(A30) no credits taken/,(A49) business,8318,(A61) ... < 100 DM,(A75) .. >= 7 years,2,(A92) female : divorced/separated/married,(A101) none,4,(A124) unknown / no property,42,(A143) none,(A153) for free,2,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A14) no checking account,6,(A34) critical account/,(A43) radio/television,1237,(A62) 100 <= ... < 500 DM,(A73) 1 <= ... < 4 years,1,(A92) female : divorced/separated/married,(A101) none,1,(A122) if not A121 : building society savings agreement/,27,(A143) none,(A152) own,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,6,(A32) existing credits paid back duly till now,(A43) radio/television,368,(A65) unknown/ no savings account,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,(A122) if not A121 : building society savings agreement/,38,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,12,(A34) critical account/,(A40) car (new),2122,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,3,(A93) male : single,(A101) none,2,(A121) real estate,39,(A143) none,(A151) rent,2,(A172) unskilled - resident,2,(A191) none,(A202) no,Good
(A11) ... < 0 DM,24,(A32) existing credits paid back duly till now,(A42) furniture/equipment,2996,(A65) unknown/ no savings account,(A73) 1 <= ... < 4 years,2,(A94) male : married/widowed,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",20,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A12) 0 <= ... < 200 DM,36,(A32) existing credits paid back duly till now,(A42) furniture/equipment,9034,(A62) 100 <= ... < 500 DM,(A72) ... < 1 year,4,(A93) male : single,(A102) co-applicant,1,(A124) unknown / no property,29,(A143) none,(A151) rent,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A14) no checking account,24,(A34) critical account/,(A42) furniture/equipment,1585,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,4,(A93) male : single,(A101) none,3,(A122) if not A121 : building society savings agreement/,40,(A143) none,(A152) own,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,18,(A32) existing credits paid back duly till now,(A43) radio/television,1301,(A61) ... < 100 DM,(A75) .. >= 7 years,4,(A94) male : married/widowed,(A103) guarantor,2,(A121) real estate,32,(A143) none,(A152) own,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A13) ... >= 200 DM /,6,(A34) critical account/,(A40) car (new),1323,(A62) 100 <= ... < 500 DM,(A75) .. >= 7 years,2,(A91) male : divorced/separated,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",28,(A143) none,(A152) own,2,(A173) skilled employee / official,2,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,24,(A32) existing credits paid back duly till now,(A40) car (new),3123,(A61) ... < 100 DM,(A72) ... < 1 year,4,(A92) female : divorced/separated/married,(A101) none,1,(A122) if not A121 : building society savings agreement/,27,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A11) ... < 0 DM,36,(A32) existing credits paid back duly till now,(A41) car (used),5493,(A61) ... < 100 DM,(A75) .. >= 7 years,2,(A93) male : single,(A101) none,4,(A124) unknown / no property,42,(A143) none,(A153) for free,1,(A173) skilled employee / official,2,(A191) none,(A201) yes,Good
(A13) ... >= 200 DM /,9,(A32) existing credits paid back duly till now,(A43) radio/television,1126,(A62) 100 <= ... < 500 DM,(A75) .. >= 7 years,2,(A91) male : divorced/separated,(A101) none,4,(A121) real estate,49,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,24,(A34) critical account/,(A43) radio/television,1216,(A62) 100 <= ... < 500 DM,(A72) ... < 1 year,4,(A93) male : single,(A101) none,4,(A124) unknown / no property,38,(A141) bank,(A152) own,2,(A173) skilled employee / official,2,(A191) none,(A201) yes,Bad
(A11) ... < 0 DM,24,(A32) existing credits paid back duly till now,(A40) car (new),1207,(A61) ... < 100 DM,(A72) ... < 1 year,4,(A92) female : divorced/separated/married,(A101) none,4,(A122) if not A121 : building society savings agreement/,24,(A143) none,(A151) rent,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A14) no checking account,10,(A32) existing credits paid back duly till now,(A40) car (new),1309,(A65) unknown/ no savings account,(A73) 1 <= ... < 4 years,4,(A93) male : single,(A103) guarantor,4,(A122) if not A121 : building society savings agreement/,27,(A143) none,(A152) own,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Bad
(A13) ... >= 200 DM /,15,(A34) critical account/,(A41) car (used),2360,(A63) 500 <= ... < 1000 DM,(A73) 1 <= ... < 4 years,2,(A93) male : single,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",36,(A143) none,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,15,(A31) all credits at this bank paid back duly,(A40) car (new),6850,(A62) 100 <= ... < 500 DM,(A71) unemployed,1,(A93) male : single,(A101) none,2,(A122) if not A121 : building society savings agreement/,34,(A143) none,(A152) own,1,(A174) management/ self-employed/,2,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A14) no checking account,24,(A32) existing credits paid back duly till now,(A43) radio/television,1413,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A94) male : married/widowed,(A101) none,2,(A122) if not A121 : building society savings agreement/,28,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,39,(A32) existing credits paid back duly till now,(A41) car (used),8588,(A62) 100 <= ... < 500 DM,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",45,(A143) none,(A152) own,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,12,(A32) existing credits paid back duly till now,(A40) car (new),759,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,4,(A93) male : single,(A101) none,2,(A121) real estate,26,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A14) no checking account,36,(A32) existing credits paid back duly till now,(A41) car (used),4686,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,2,(A93) male : single,(A101) none,2,(A124) unknown / no property,32,(A143) none,(A153) for free,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A13) ... >= 200 DM /,15,(A32) existing credits paid back duly till now,(A49) business,2687,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,2,(A93) male : single,(A101) none,4,(A122) if not A121 : building society savings agreement/,26,(A143) none,(A151) rent,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,12,(A33) delay in paying off in the past,(A43) radio/television,585,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A94) male : married/widowed,(A102) co-applicant,4,(A121) real estate,20,(A143) none,(A151) rent,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,24,(A32) existing credits paid back duly till now,(A40) car (new),2255,(A65) unknown/ no savings account,(A72) ... < 1 year,4,(A93) male : single,(A101) none,1,(A122) if not A121 : building society savings agreement/,54,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,6,(A34) critical account/,(A40) car (new),609,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,4,(A92) female : divorced/separated/married,(A101) none,3,(A122) if not A121 : building society savings agreement/,37,(A143) none,(A152) own,2,(A173) skilled employee / official,1,(A191) none,(A202) no,Good
(A11) ... < 0 DM,6,(A34) critical account/,(A40) car (new),1361,(A61) ... < 100 DM,(A72) ... < 1 year,2,(A93) male : single,(A101) none,4,(A121) real estate,40,(A143) none,(A152) own,1,(A172) unskilled - resident,2,(A191) none,(A202) no,Good
(A14) no checking account,36,(A34) critical account/,(A42) furniture/equipment,7127,(A61) ... < 100 DM,(A72) ... < 1 year,2,(A92) female : divorced/separated/married,(A101) none,4,(A122) if not A121 : building society savings agreement/,23,(A143) none,(A151) rent,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A11) ... < 0 DM,6,(A32) existing credits paid back duly till now,(A40) car (new),1203,(A62) 100 <= ... < 500 DM,(A75) .. >= 7 years,3,(A93) male : single,(A101) none,2,(A122) if not A121 : building society savings agreement/,43,(A143) none,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,6,(A34) critical account/,(A43) radio/television,700,(A65) unknown/ no savings account,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,(A124) unknown / no property,36,(A143) none,(A153) for free,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,24,(A34) critical account/,(A45) repairs,5507,(A61) ... < 100 DM,(A75) .. >= 7 years,3,(A93) male : single,(A101) none,4,(A124) unknown / no property,44,(A143) none,(A153) for free,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,18,(A32) existing credits paid back duly till now,(A43) radio/television,3190,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,2,(A92) female : divorced/separated/married,(A101) none,2,(A121) real estate,24,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A11) ... < 0 DM,48,(A30) no credits taken/,(A42) furniture/equipment,7119,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,3,(A93) male : single,(A101) none,4,(A124) unknown / no property,53,(A143) none,(A153) for free,2,(A173) skilled employee / official,2,(A191) none,(A201) yes,Bad
(A14) no checking account,24,(A32) existing credits paid back duly till now,(A41) car (used),3488,(A62) 100 <= ... < 500 DM,(A74) 4 <= ... < 7 years,3,(A92) female : divorced/separated/married,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",23,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,18,(A32) existing credits paid back duly till now,(A43) radio/television,1113,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A92) female : divorced/separated/married,(A103) guarantor,4,(A121) real estate,26,(A143) none,(A152) own,1,(A172) unskilled - resident,2,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,26,(A32) existing credits paid back duly till now,(A41) car (used),7966,(A61) ... < 100 DM,(A72) ... < 1 year,2,(A93) male : single,(A101) none,3,"(A123) if not A121/A122 : car or other, not in attribute 6",30,(A143) none,(A152) own,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,15,(A34) critical account/,(A46) education,1532,(A62) 100 <= ... < 500 DM,(A73) 1 <= ... < 4 years,4,(A92) female : divorced/separated/married,(A101) none,3,"(A123) if not A121/A122 : car or other, not in attribute 6",31,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,4,(A34) critical account/,(A43) radio/television,1503,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,2,(A93) male : single,(A101) none,1,(A121) real estate,42,(A143) none,(A152) own,2,(A172) unskilled - resident,2,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,36,(A32) existing credits paid back duly till now,(A43) radio/television,2302,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A91) male : divorced/separated,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",31,(A143) none,(A151) rent,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A11) ... < 0 DM,6,(A32) existing credits paid back duly till now,(A40) car (new),662,(A61) ... < 100 DM,(A72) ... < 1 year,3,(A93) male : single,(A101) none,4,(A121) real estate,41,(A143) none,(A152) own,1,(A172) unskilled - resident,2,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,36,(A32) existing credits paid back duly till now,(A46) education,2273,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,3,(A93) male : single,(A101) none,1,"(A123) if not A121/A122 : car or other, not in attribute 6",32,(A143) none,(A152) own,2,(A173) skilled employee / official,2,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,15,(A32) existing credits paid back duly till now,(A40) car (new),2631,(A62) 100 <= ... < 500 DM,(A73) 1 <= ... < 4 years,2,(A92) female : divorced/separated/married,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",28,(A143) none,(A151) rent,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A14) no checking account,12,(A33) delay in paying off in the past,(A41) car (used),1503,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A94) male : married/widowed,(A101) none,4,(A121) real estate,41,(A143) none,(A151) rent,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,24,(A32) existing credits paid back duly till now,(A43) radio/television,1311,(A62) 100 <= ... < 500 DM,(A74) 4 <= ... < 7 years,4,(A94) male : married/widowed,(A101) none,3,(A122) if not A121 : building society savings agreement/,26,(A143) none,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,24,(A32) existing credits paid back duly till now,(A43) radio/television,3105,(A65) unknown/ no savings account,(A72) ... < 1 year,4,(A93) male : single,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",25,(A143) none,(A152) own,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A13) ... >= 200 DM /,21,(A34) critical account/,(A46) education,2319,(A61) ... < 100 DM,(A72) ... < 1 year,2,(A91) male : divorced/separated,(A101) none,1,"(A123) if not A121/A122 : car or other, not in attribute 6",33,(A143) none,(A151) rent,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A11) ... < 0 DM,6,(A32) existing credits paid back duly till now,(A40) car (new),1374,(A65) unknown/ no savings account,(A71) unemployed,4,(A92) female : divorced/separated/married,(A101) none,3,(A122) if not A121 : building society savings agreement/,75,(A143) none,(A152) own,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,18,(A34) critical account/,(A42) furniture/equipment,3612,(A61) ... < 100 DM,(A75) .. >= 7 years,3,(A92) female : divorced/separated/married,(A101) none,4,(A122) if not A121 : building society savings agreement/,37,(A143) none,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,48,(A32) existing credits paid back duly till now,(A40) car (new),7763,(A61) ... < 100 DM,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,(A124) unknown / no property,42,(A141) bank,(A153) for free,1,(A174) management/ self-employed/,1,(A191) none,(A201) yes,Bad
(A13) ... >= 200 DM /,18,(A32) existing credits paid back duly till now,(A42) furniture/equipment,3049,(A61) ... < 100 DM,(A72) ... < 1 year,1,(A92) female : divorced/separated/married,(A101) none,1,(A122) if not A121 : building society savings agreement/,45,(A142) stores,(A152) own,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,12,(A32) existing credits paid back duly till now,(A43) radio/television,1534,(A61) ... < 100 DM,(A72) ... < 1 year,1,(A94) male : married/widowed,(A101) none,1,(A121) real estate,23,(A143) none,(A151) rent,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A14) no checking account,24,(A33) delay in paying off in the past,(A40) car (new),2032,(A61) ... < 100 DM,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,(A124) unknown / no property,60,(A143) none,(A153) for free,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,30,(A32) existing credits paid back duly till now,(A42) furniture/equipment,6350,(A65) unknown/ no savings account,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,(A122) if not A121 : building society savings agreement/,31,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A13) ... >= 200 DM /,18,(A32) existing credits paid back duly till now,(A42) furniture/equipment,2864,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,2,(A93) male : single,(A101) none,1,(A121) real estate,34,(A143) none,(A152) own,1,(A172) unskilled - resident,2,(A191) none,(A201) yes,Bad
(A14) no checking account,12,(A34) critical account/,(A40) car (new),1255,(A61) ... < 100 DM,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,(A121) real estate,61,(A143) none,(A152) own,2,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,24,(A33) delay in paying off in the past,(A40) car (new),1333,(A61) ... < 100 DM,(A71) unemployed,4,(A93) male : single,(A101) none,2,(A121) real estate,43,(A143) none,(A153) for free,2,(A173) skilled employee / official,2,(A191) none,(A201) yes,Bad
(A14) no checking account,24,(A34) critical account/,(A40) car (new),2022,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A92) female : divorced/separated/married,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",37,(A143) none,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,24,(A32) existing credits paid back duly till now,(A43) radio/television,1552,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,3,(A93) male : single,(A101) none,1,"(A123) if not A121/A122 : car or other, not in attribute 6",32,(A141) bank,(A152) own,1,(A173) skilled employee / official,2,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,12,(A31) all credits at this bank paid back duly,(A43) radio/television,626,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A92) female : divorced/separated/married,(A101) none,4,(A121) real estate,24,(A141) bank,(A152) own,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Bad
(A14) no checking account,48,(A34) critical account/,(A41) car (used),8858,(A65) unknown/ no savings account,(A74) 4 <= ... < 7 years,2,(A93) male : single,(A101) none,1,(A124) unknown / no property,35,(A143) none,(A153) for free,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A14) no checking account,12,(A34) critical account/,(A45) repairs,996,(A65) unknown/ no savings account,(A74) 4 <= ... < 7 years,4,(A92) female : divorced/separated/married,(A101) none,4,(A121) real estate,23,(A143) none,(A152) own,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,6,(A31) all credits at this bank paid back duly,(A43) radio/television,1750,(A63) 500 <= ... < 1000 DM,(A75) .. >= 7 years,2,(A93) male : single,(A101) none,4,(A122) if not A121 : building society savings agreement/,45,(A141) bank,(A152) own,1,(A172) unskilled - resident,2,(A191) none,(A201) yes,Good
(A11) ... < 0 DM,48,(A32) existing credits paid back duly till now,(A43) radio/television,6999,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,1,(A94) male : married/widowed,(A103) guarantor,1,(A121) real estate,34,(A143) none,(A152) own,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A12) 0 <= ... < 200 DM,12,(A34) critical account/,(A40) car (new),1995,(A62) 100 <= ... < 500 DM,(A72) ... < 1 year,4,(A93) male : single,(A101) none,1,"(A123) if not A121/A122 : car or other, not in attribute 6",27,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,9,(A32) existing credits paid back duly till now,(A46) education,1199,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,4,(A92) female : divorced/separated/married,(A101) none,4,(A122) if not A121 : building society savings agreement/,67,(A143) none,(A152) own,2,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,12,(A32) existing credits paid back duly till now,(A43) radio/television,1331,(A61) ... < 100 DM,(A72) ... < 1 year,2,(A93) male : single,(A101) none,1,"(A123) if not A121/A122 : car or other, not in attribute 6",22,(A142) stores,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A12) 0 <= ... < 200 DM,18,(A30) no credits taken/,(A40) car (new),2278,(A62) 100 <= ... < 500 DM,(A72) ... < 1 year,3,(A92) female : divorced/separated/married,(A101) none,3,"(A123) if not A121/A122 : car or other, not in attribute 6",28,(A143) none,(A152) own,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A14) no checking account,21,(A30) no credits taken/,(A40) car (new),5003,(A65) unknown/ no savings account,(A73) 1 <= ... < 4 years,1,(A92) female : divorced/separated/married,(A101) none,4,(A122) if not A121 : building society savings agreement/,29,(A141) bank,(A152) own,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A11) ... < 0 DM,24,(A31) all credits at this bank paid back duly,(A42) furniture/equipment,3552,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,3,(A93) male : single,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",27,(A141) bank,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A12) 0 <= ... < 200 DM,18,(A34) critical account/,(A42) furniture/equipment,1928,(A61) ... < 100 DM,(A72) ... < 1 year,2,(A93) male : single,(A101) none,2,(A121) real estate,31,(A143) none,(A152) own,2,(A172) unskilled - resident,1,(A191) none,(A201) yes,Bad
(A11) ... < 0 DM,24,(A32) existing credits paid back duly till now,(A41) car (used),2964,(A65) unknown/ no savings account,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,(A124) unknown / no property,49,(A141) bank,(A153) for free,1,(A173) skilled employee / official,2,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,24,(A31) all credits at this bank paid back duly,(A43) radio/television,1546,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,4,(A93) male : single,(A103) guarantor,4,"(A123) if not A121/A122 : car or other, not in attribute 6",24,(A141) bank,(A151) rent,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Bad
(A13) ... >= 200 DM /,6,(A33) delay in paying off in the past,(A43) radio/television,683,(A61) ... < 100 DM,(A72) ... < 1 year,2,(A92) female : divorced/separated/married,(A101) none,1,(A122) if not A121 : building society savings agreement/,29,(A141) bank,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,36,(A32) existing credits paid back duly till now,(A40) car (new),12389,(A65) unknown/ no savings account,(A73) 1 <= ... < 4 years,1,(A93) male : single,(A101) none,4,(A124) unknown / no property,37,(A143) none,(A153) for free,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A12) 0 <= ... < 200 DM,24,(A33) delay in paying off in the past,(A49) business,4712,(A65) unknown/ no savings account,(A73) 1 <= ... < 4 years,4,(A93) male : single,(A101) none,2,(A122) if not A121 : building society savings agreement/,37,(A141) bank,(A152) own,2,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A12) 0 <= ... < 200 DM,24,(A33) delay in paying off in the past,(A43) radio/television,1553,(A62) 100 <= ... < 500 DM,(A74) 4 <= ... < 7 years,3,(A92) female : divorced/separated/married,(A101) none,2,(A122) if not A121 : building society savings agreement/,23,(A143) none,(A151) rent,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,12,(A32) existing credits paid back duly till now,(A40) car (new),1372,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,2,(A91) male : divorced/separated,(A101) none,3,"(A123) if not A121/A122 : car or other, not in attribute 6",36,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Bad
(A14) no checking account,24,(A34) critical account/,(A43) radio/television,2578,(A64) .. >= 1000 DM,(A75) .. >= 7 years,2,(A93) male : single,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",34,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,48,(A32) existing credits paid back duly till now,(A43) radio/television,3979,(A65) unknown/ no savings account,(A74) 4 <= ... < 7 years,4,(A93) male : single,(A101) none,1,"(A123) if not A121/A122 : car or other, not in attribute 6",41,(A143) none,(A152) own,2,(A173) skilled employee / official,2,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,48,(A32) existing credits paid back duly till now,(A43) radio/television,6758,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,3,(A92) female : divorced/separated/married,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",31,(A143) none,(A152) own,1,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A11) ... < 0 DM,24,(A32) existing credits paid back duly till now,(A42) furniture/equipment,3234,(A61) ... < 100 DM,(A72) ... < 1 year,4,(A92) female : divorced/separated/married,(A101) none,4,(A121) real estate,23,(A143) none,(A151) rent,1,(A172) unskilled - resident,1,"(A192) yes, registered under the customers name",(A201) yes,Bad
(A14) no checking account,30,(A34) critical account/,(A43) radio/television,5954,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,3,(A93) male : single,(A102) co-applicant,2,"(A123) if not A121/A122 : car or other, not in attribute 6",38,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,24,(A32) existing credits paid back duly till now,(A41) car (used),5433,(A65) unknown/ no savings account,(A71) unemployed,2,(A92) female : divorced/separated/married,(A101) none,4,(A122) if not A121 : building society savings agreement/,26,(A143) none,(A151) rent,1,(A174) management/ self-employed/,1,"(A192) yes, registered under the customers name",(A201) yes,Good
(A11) ... < 0 DM,15,(A32) existing credits paid back duly till now,(A49) business,806,(A61) ... < 100 DM,(A73) 1 <= ... < 4 years,4,(A92) female : divorced/separated/married,(A101) none,4,(A122) if not A121 : building society savings agreement/,22,(A143) none,(A152) own,1,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,9,(A32) existing credits paid back duly till now,(A43) radio/television,1082,(A61) ... < 100 DM,(A75) .. >= 7 years,4,(A93) male : single,(A101) none,4,"(A123) if not A121/A122 : car or other, not in attribute 6",27,(A143) none,(A152) own,2,(A172) unskilled - resident,1,(A191) none,(A201) yes,Good
(A14) no checking account,15,(A34) critical account/,(A42) furniture/equipment,2788,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,2,(A92) female : divorced/separated/married,(A102) co-applicant,3,"(A123) if not A121/A122 : car or other, not in attribute 6",24,(A141) bank,(A152) own,2,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A12) 0 <= ... < 200 DM,12,(A32) existing credits paid back duly till now,(A43) radio/television,2930,(A61) ... < 100 DM,(A74) 4 <= ... < 7 years,2,(A92) female : divorced/separated/married,(A101) none,1,(A121) real estate,27,(A143) none,(A152) own,1,(A173) skilled employee / official,1,(A191) none,(A201) yes,Good
(A14) no checking account,24,(A34) critical account/,(A46) education,1927,(A65) unknown/ no savings account,(A73) 1 <= ... < 4 years,3,(A92) female : divorced/separated/married,(A101) none,2,"(A123) if not A121/A122 : car or other, not in attribute 6",33,(A143) none,(A152) own,2,(A173) skilled employee / official,1,"(A192) yes, registered under the customers name",(A201) yes,Good
